Player,GA,SoTA,PSxG,GSAA,GSAA%
Drake Callender,45,147,46.5,1.5,1.02
C.J. dos Santos,4,6,2.4,-1.6,-26.667
Óscar Ustari,0,6,1.1,1.1,18.333
Patrick Schulte,29,105,32.1,3.1,2.952
Nicholas Hagen,5,23,6.2,1.2,5.217
Abraham Romero,0,3,0.4,0.4,13.333
Evan Bush,2,8,3.1,1.1,13.75
Roman Celentano,42,129,40.9,-1.1,-0.853
Alec Kann,4,10,2.7,-1.3,-13.0
Evan Louro,2,5,1.8,-0.2,-4.0
Pedro Gallese,39,105,37.9,-1.1,-1.048
Mason Stajduhar,8,28,10.0,2.0,7.143
Javier Otero,3,3,2.1,-0.9,-30.0
Kristijan Kahlina,37,154,47.5,10.5,6.818
Matt Freese,45,165,50.5,5.5,3.333
Luis Barraza,4,5,3.2,-0.8,-16.0
Carlos Coronel,44,116,39.1,-4.9,-4.224
Ryan Meara,6,15,5.0,-1.0,-6.667
Jonathan Sirois,62,172,61.5,-0.5,-0.291
Sebastian Breza,2,10,2.8,0.8,8.0
Brad Guzan,44,154,48.4,4.4,2.857
Josh Cohen,5,10,1.5,-3.5,-35.0
Alex Bono,55,128,49.9,-5.1,-3.984
Tyler Miller,15,29,10.7,-4.3,-14.828
Sean Johnson,43,111,40.6,-2.4,-2.162
Luka Gavran,18,50,16.5,-1.5,-3.0
Oliver Semmle,29,78,29.3,0.3,0.385
Andre Blake,14,53,15.5,1.5,2.83
Andrew Rick,12,32,10.9,-1.1,-3.438
Joe Willis,44,132,39.8,-4.2,-3.182
Elliot Panicco,10,34,10.4,0.4,1.176
Aljaž Ivačič,56,158,53.2,-2.8,-1.772
Henrich Ravas,17,43,16.8,-0.2,-0.465
Earl Edwards Jr.,1,2,1.1,0.1,5.0
Christopher Brady,61,164,56.9,-4.1,-2.5
Spencer Richey,1,4,1.3,0.3,7.5
Hugo Lloris,40,130,38.2,-1.8,-1.385
Thomas Hasal,3,7,2.5,-0.5,-7.143
John McCarthy,48,172,51.7,3.7,2.151
Novak Mićović,2,6,0.9,-1.1,-18.333
Zac MacMath,28,99,25.5,-2.5,-2.525
Gavin Beavers,20,53,18.7,-1.3,-2.453
Stefan Frei,27,96,26.7,-0.3,-0.312
Andrew Thomas,8,29,7.8,-0.2,-0.69
Steve Clark,34,127,39.9,5.9,4.646
Andrew Tarbell,5,19,5.5,0.5,2.632
Dayne St. Clair,31,99,32.1,1.1,1.111
Clint Irwin,12,33,11.5,-0.5,-1.515
Alec Smir,6,13,5.3,-0.7,-5.385
Zack Steffen,57,158,45.9,-11.1,-7.025
Adam Beaudry,3,5,2.0,-1.0,-20.0
Yohei Takaoka,47,132,48.7,1.7,1.288
Isaac Boehmer,2,6,1.6,-0.4,-6.667
Maxime Crépeau,38,88,33.4,-4.6,-5.227
James Pantemis,18,58,20.1,2.1,3.621
Brad Stuver,48,178,54.6,6.6,3.708
Maarten Paes,52,170,49.2,-2.8,-1.647
Jimmy Maurer,4,21,6.6,2.6,12.381
Roman Bürki,55,152,58.6,3.6,2.368
Benjamin Lundt,8,15,5.1,-2.9,-19.333
Tim Melia,53,125,49.2,-3.8,-3.04
John Pulskamp,13,23,8.9,-4.1,-17.826
William Yarbrough,45,100,36.1,-8.9,-8.9
Daniel,24,72,21.2,-2.8,-3.889
Jacob Jackson,9,18,5.2,-3.8,-2
